Antecedent,Consequent,Score,Support
$((Whole_weight \leq 0.71)) \land ((Sex = I))$ ," (Sex), (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings) ", 0.91 , 1087
$((Whole_weight \leq 0.71)) \land ((Sex \neq I))$ ," (Sex), (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings) ", 0.91 , 597
$((Whole_weight > 0.71)) \land ((Class_number_of_rings > 13.50)) \land ((Class_number_of_rings > 13.50))$ ," (Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight), (Class_number_of_rings) ", 0.35 , 506
$((Whole_weight > 0.71)) \land ((Class_number_of_rings \leq 13.50)) \land ((Shucked_weight \leq 0.43))$ ," (Sex), (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings) ", 0.70 , 537
$((Whole_weight > 0.71)) \land ((Class_number_of_rings \leq 13.50)) \land ((Shucked_weight > 0.43)) \land ((Whole_weight > 1.01))$ ," (Sex), (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings) ", 0.56 , 874
$((Whole_weight \leq 0.71)) \land ((Sex = I)) \land ((Whole_weight > 0.28)) \land ((Shell_weight \leq 0.13))$ ," (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight), (Class_number_of_rings) ", 0.78 , 262
$((Whole_weight \leq 0.71)) \land ((Sex \neq I)) \land ((Height > 0.07) \land (Height \leq 0.16)) \land ((Class_number_of_rings > 8.50))$ ," (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight), (Class_number_of_rings) ", 0.79 , 245
$((Whole_weight > 0.71)) \land ((Class_number_of_rings > 13.50)) \land ((Class_number_of_rings > 13.50)) \land ((Sex = M))$ ," (Sex), (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight) ", 0.35 , 231
$((Whole_weight > 0.71)) \land ((Class_number_of_rings \leq 13.50)) \land ((Shucked_weight \leq 0.43)) \land ((Class_number_of_rings > 11.50))$ ," (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight), (Class_number_of_rings) ", 0.67 , 260
$((Whole_weight > 0.71)) \land ((Class_number_of_rings > 13.50)) \land ((Class_number_of_rings > 13.50)) \land ((Sex \neq M)) \land ((Sex \neq I))$ ," (Sex), (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight) ", 0.35 , 234
$((Whole_weight > 0.71)) \land ((Class_number_of_rings \leq 13.50)) \land ((Shucked_weight > 0.43)) \land ((Whole_weight > 1.01)) \land ((Whole_weight > 1.23)) \land ((Class_number_of_rings > 9.50))$ ," (Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight), (Class_number_of_rings) ", 0.40 , 232
