A,C,MP,MR,NI,Valid
(Alarm == 1),"('Earthquake', 'MaryCalls')",1.0,1.0,23410,True
(Alarm == 1),"('Earthquake', 'JohnCalls')",1.0,1.0,23410,True
(Alarm == 1),"('JohnCalls', 'MaryCalls')",1.0,1.0,23410,True
(Alarm == 1),"('Burglary', 'Earthquake')",1.0,1.0,23410,True
(Alarm == 1),"('Burglary', 'MaryCalls')",1.0,1.0,23410,True
(Alarm == 1),"('Burglary', 'JohnCalls')",1.0,1.0,23410,True
~(Alarm == 1),"('Earthquake', 'MaryCalls')",1.0,1.0,14090,True
~(Alarm == 1),"('Earthquake', 'JohnCalls')",1.0,1.0,14090,True
~(Alarm == 1),"('JohnCalls', 'MaryCalls')",1.0,1.0,14090,True
~(Alarm == 1),"('Burglary', 'Earthquake')",1.0,1.0,14090,True
~(Alarm == 1),"('Burglary', 'MaryCalls')",1.0,1.0,14090,True
~(Alarm == 1),"('Burglary', 'JohnCalls')",1.0,1.0,14090,True
