Antecedent,Consequent,Score,Support
$$ ," (veil-type), (cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class) ", 1.00 , 5644
$((bruises \neq t)) \lor ((bruises = t) \land (odor \neq n))$ ," (gill-attachment), (veil-color), (ring-number), (cap-shape,cap-surface,cap-color,bruises,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,population,habitat,class) ", 1.00 , 3400
$((bruises = t) \land (odor = n)) \land ((habitat \neq d))$ ," (gill-attachment), (cap-shape,cap-surface,cap-color,bruises,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class) ", 0.72 , 480
$((bruises = t) \land (odor = n)) \land ((habitat = d))$ ," (gill-spacing), (gill-size), (veil-color), (habitat), (cap-shape,cap-color,bruises,odor,gill-attachment,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,class), (cap-surface) ", 0.82 , 1764
$((bruises \neq t)) \lor ((bruises = t) \land (odor \neq n)) \land ((stalk-color-below-ring \neq w))$ ," (bruises), (odor), (gill-spacing), (gill-size), (stalk-shape), (stalk-root), (stalk-surface-above-ring), (stalk-surface-below-ring), (ring-type), (spore-print-color), (class), (cap-shape), (cap-surface), (cap-color), (gill-color), (stalk-color-above-ring), (stalk-color-below-ring), (population), (habitat) ", 1.00 , 1296
$((bruises \neq t)) \lor ((bruises = t) \land (odor \neq n)) \land ((stalk-color-below-ring = w))$ ," (stalk-color-above-ring), (stalk-color-below-ring), (cap-shape,cap-surface,cap-color,bruises,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,ring-type,spore-print-color,population,habitat,class) ", 1.00 , 2104
$((bruises = t) \land (odor = n)) \land ((habitat \neq d)) \land ((spore-print-color \neq w))$ ," (bruises), (stalk-surface-above-ring), (stalk-surface-below-ring), (stalk-color-above-ring), (stalk-color-below-ring), (veil-color), (ring-type), (cap-shape,cap-surface,cap-color,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,ring-number,spore-print-color,population,habitat,class) ", 0.72 , 376
$((bruises = t) \land (odor = n)) \land ((habitat = d)) \land ((stalk-surface-above-ring = s))$ ," (bruises), (odor), (gill-attachment), (stalk-shape), (stalk-root), (stalk-surface-above-ring), (stalk-surface-below-ring), (ring-number), (ring-type), (class), (cap-shape), (cap-color), (gill-color), (stalk-color-above-ring), (stalk-color-below-ring), (spore-print-color), (population) ", 0.82 , 1728
$((bruises \neq t)) \lor ((bruises = t) \land (odor \neq n)) \land ((stalk-color-below-ring = w)) \land ((ring-type = e))$ ," (bruises), (odor), (gill-spacing), (gill-size), (stalk-shape), (stalk-root), (ring-type), (habitat), (class), (cap-shape), (cap-surface), (cap-color), (gill-color), (stalk-surface-above-ring), (stalk-surface-below-ring), (spore-print-color), (population) ", 1.00 , 768
$((bruises \neq t)) \lor ((bruises = t) \land (odor \neq n)) \land ((stalk-color-below-ring = w)) \land ((ring-type \neq e))$ ," (ring-type), (cap-shape,cap-surface,cap-color,bruises,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,spore-print-color,population,habitat,class) ", 1.00 , 1336
$((bruises \neq t)) \lor ((bruises = t) \land (odor \neq n)) \land ((stalk-color-below-ring = w)) \land ((ring-type \neq e)) \land ((class = e) \land (bruises = t))$ ," (bruises), (stalk-surface-above-ring), (cap-shape,cap-surface,cap-color,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-below-ring,spore-print-color,population,habitat,class) ", 0.99 , 760
$((bruises \neq t)) \lor ((bruises = t) \land (odor \neq n)) \land ((stalk-color-below-ring = w)) \land ((ring-type \neq e)) \land ((class \neq e)) \lor ((class = e) \land (bruises \neq t)) \land ((odor \neq c))$ ," (gill-spacing), (cap-shape,cap-surface,cap-color,bruises,odor,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,spore-print-color,population,habitat,class) ", 1.00 , 384
$((bruises \neq t)) \lor ((bruises = t) \land (odor \neq n)) \land ((stalk-color-below-ring = w)) \land ((ring-type \neq e)) \land ((class = e) \land (bruises = t)) \land ((gill-color \neq w))$ ," (class), (cap-shape,cap-surface,cap-color,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-below-ring,spore-print-color,population,habitat), (odor) ", 0.99 , 544
$((bruises \neq t)) \lor ((bruises = t) \land (odor \neq n)) \land ((stalk-color-below-ring = w)) \land ((ring-type \neq e)) \land ((class \neq e)) \lor ((class = e) \land (bruises \neq t)) \land ((odor \neq c)) \land ((odor \neq n))$ ," (cap-surface), (bruises), (odor), (gill-size), (stalk-shape), (stalk-root), (spore-print-color), (class), (cap-shape), (cap-color), (gill-color), (stalk-surface-above-ring), (stalk-surface-below-ring), (population), (habitat) ", 1.00 , 288
