Antecedent,Consequent,Score,Support
$((oDM = 0))$ ," (oDM), (AgeCat, Race, Education), (BMICat), (GravCat), (SmokeCat1, SmokeCat2) ", 1.00 , 8832
$((oDM \neq 0))$ ," (oDM), (AgeCat, BMICat, Race, Education), (GravCat), (SmokeCat1, SmokeCat2) ", 1.00 , 388
$((oDM = 0)) \land ((Race = 1))$ ," (Race), (AgeCat, Education) ", 1.00 , 5412
$((oDM = 0)) \land ((SmokeCat1 = 2))$ ," (SmokeCat1), (SmokeCat2) ", 1.00 , 5181
$((oDM = 0)) \land ((SmokeCat1 \neq 2))$ ," (SmokeCat1), (SmokeCat2) ", 1.00 , 3651
$((oDM \neq 0)) \land ((Race = 1))$ ," (Race), (AgeCat, Education), (BMICat) ", 1.00 , 214
$((oDM \neq 0)) \land ((SmokeCat1 \neq 2))$ ," (SmokeCat1), (SmokeCat2) ", 1.00 , 192
$((oDM \neq 0)) \land ((SmokeCat1 = 2))$ ," (SmokeCat1), (SmokeCat2) ", 1.00 , 196
$((oDM = 0)) \land ((Race \neq 1)) \land (((Race \neq 3) \land (Race = 2)) \lor ((Race = 3)))$ ," (AgeCat, Education), (Race) ", 1.00 , 2651
$((oDM \neq 0)) \land ((Race \neq 1)) \land (((Race \neq 5) \land (Race = 8)) \lor ((Race = 5)))$ ," (AgeCat), (BMICat), (Race), (Education) ", 0.77 , 71
$((oDM \neq 0)) \land ((Race \neq 1)) \land ((Race \neq 5) \land (Race \neq 8))$ ," (AgeCat, Education), (BMICat), (Race) ", 1.00 , 103
$((oDM = 0)) \land ((Race \neq 1)) \land ((Race \neq 3) \land (Race \neq 2)) \land ((AgeCat \neq 0) \land (AgeCat \neq 1))$ ," (AgeCat), (Race), (Education) ", 0.98 , 512
$((oDM = 0)) \land ((Race \neq 1)) \land ((Race \neq 3) \land (Race \neq 2)) \land (((AgeCat \neq 0) \land (AgeCat = 1)) \lor ((AgeCat = 0)))$ ," (AgeCat, Education), (Race) ", 0.86 , 257
$((oDM = 0)) \land ((Race = 1)) \land (((Education \neq 5) \land (Education = 6)) \lor ((Education = 5)))$ ," (AgeCat), (Education) ", 1.00 , 3490
$((oDM \neq 0)) \land ((Race = 1)) \land ((Education \neq 6) \land (Education \neq 5))$ ," (AgeCat), (Education) ", 1.00 , 85
