Antecedent,Consequent,Score,Support
$(\neg ny)$ ," (ct), (dc), (de), (dengl), (fraspm), (gl), (ia), (il), (in), (lb), (mb), (me), (mi), (mn), (nb), (nd), (nf), (nh), (nj), (ns), (nu), (oh), (on), (pe), (qc), (ri), (vt), (wi), (wv), (ab,ak,al,ar,az,bc,ca,co,fl,ga,id,ks,ky,la,mo,ms,mt,nc,ne,nm,nt,nv,ok,or,sc,sd,sk,tn,tx,ut,va,wa,wy,yt), (hi), (ma), (md), (ny), (pa), (pr,vi) ", 0.99 , 25063
$(ny) \land (pa \land ny)$ ," (ny), (pa), (ab,ak,al,ar,az,bc,ca,co,ct,dc,de,dengl,fl,fraspm,ga,hi,ia,id,il,in,ks,ky,la,lb,ma,mb,md,me,mi,mn,mo,ms,mt,nb,nc,nd,ne,nf,nh,nj,nm,ns,nt,nu,nv,oh,ok,on,or,pe,pr,qc,ri,sc,sd,sk,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,yt), (gl) ", 0.57 , 4607
$(\neg ny) \land (\neg fl)$ ," (ga), (ky), (la), (ms), (nc), (sc), (tn), (va), (ab,ak,az,bc,ca,co,id,ks,mt,ne,nm,nt,nv,ok,or,sd,sk,tx,ut,wa,wy,yt), (al), (ar), (fl), (mo) ", 0.99 , 19943
$(\neg ny) \land (fl)$ ," (ab), (nt), (sk), (yt), (ak,al,ar,az,bc,ca,co,fl,ga,id,ks,ky,la,mo,ms,mt,nc,ne,nm,nv,ok,or,sc,sd,tn,tx,ut,va,wa,wy) ", 0.68 , 5120
$(\neg ny) \land (\neg pr)$ ," (pr), (vi) ", 0.99 , 21119
$(\neg ny) \land (pr)$ ," (pr), (vi) ", 0.99 , 3944
$(ny) \land (\neg pa) \lor (pa \land \neg ny) \land (\neg ab)$ ," (dengl), (gl), (nu), (ab,ak,al,ar,az,bc,ca,co,dc,de,fl,fraspm,ga,hi,ia,id,il,in,ks,ky,la,lb,mb,md,mi,mn,mo,ms,mt,nb,nc,nd,ne,nf,nj,nm,ns,nt,nv,oh,ok,or,pa,pe,pr,sc,sd,sk,tn,tx,ut,va,vi,wa,wi,wv,wy,yt), (ct,ma,me,nh,ri,vt), (ny), (on), (qc) ", 0.57 , 2705
$(ny) \land (\neg pa) \lor (pa \land \neg ny) \land (ab)$ ," (pr), (vi), (ab,ak,al,ar,az,bc,ca,co,ct,de,dengl,fl,fraspm,ga,gl,ia,id,il,in,ks,ky,la,lb,ma,mb,md,me,mi,mn,mo,ms,mt,nb,nc,nd,ne,nf,nh,nj,nm,ns,nt,nu,nv,ny,oh,ok,on,or,pe,qc,ri,sc,sd,sk,tn,tx,ut,va,vt,wa,wi,wv,wy,yt), (dc), (hi), (pa) ", 0.30 , 2406
$(ny) \land (pa \land ny) \land (\neg nt)$ ," (dengl), (nt), (nu), (yt), (ab,ak,al,ar,az,bc,ca,co,ct,dc,de,fl,fraspm,ga,hi,ia,id,il,in,ks,ky,la,lb,ma,mb,md,me,mi,mn,mo,ms,mt,nb,nc,nd,ne,nf,nh,nj,nm,ns,nv,oh,ok,on,or,pe,pr,qc,ri,sc,sd,sk,tn,tx,ut,va,vi,vt,wa,wi,wv,wy) ", 0.57 , 3571
$(\neg ny) \land (\neg fl) \land (\neg id \land \neg bc)$ ," (ab), (bc), (id), (ks), (mt), (ne), (nt), (ok), (sd), (sk), (yt), (ak), (az,co,nm,nv,tx,ut,wy), (ca), (or,wa) ", 0.99 , 16196
